,0,1,cluster
797,1.289827102,-0.47312746,3
798,1.290840556,-0.452000332,3
799,1.293186588,-0.524686211,3
800,1.307539607,-0.331730245,3
801,1.308142977,-0.48724177,3
802,1.309333324,-0.576926653,3
803,1.310479905,-0.489978827,3
804,1.314502961,-0.529467763,3
805,1.316277021,-0.489166763,3
806,1.334054391,-0.393252628,3
807,1.351743966,-0.303357333,3
808,1.351812058,-0.462689303,3
809,1.358688682,-0.390222213,3
810,1.387186241,-0.432812645,3
811,1.387297387,-0.439337407,3
812,1.38957894,-0.485979859,3
813,1.39464033,-0.364729755,3
814,1.399147767,-0.360694204,3
815,1.401051486,-0.392575299,3
816,1.408197912,-0.519781523,3
817,1.412714476,-0.344513253,3
818,1.414460526,-0.430595321,3
819,1.422447556,-0.355785861,3
820,1.426004812,-0.423118409,3
821,1.434146984,-0.443714682,3
822,1.445974833,-0.402843005,3
823,1.45173025,-0.396590919,3
824,1.452778113,-0.403817104,3
825,1.458142981,-0.274932173,3
826,1.459610343,-0.494420607,3
827,1.461061522,-0.398179633,3
828,1.463876615,-0.457382251,3
829,1.470214313,-0.315676428,3
830,1.478209247,-0.350469641,3
831,1.480194515,-0.250254682,3
832,1.480608694,-0.235903492,3
833,1.488922351,-0.294732741,3
834,1.494134478,-0.423006048,3
835,1.499647329,-0.454765436,3
836,1.499650107,-0.334708493,3
837,1.510192812,-0.326256051,3
838,1.515718844,-0.456594063,3
839,1.52124054,-0.283605966,3
840,1.541348302,-0.228366069,3
841,1.54384341,-0.275349407,3
842,1.549804546,-0.141738853,3
843,1.553679201,-0.344434751,3
844,1.554754962,-0.280178202,3
845,1.557874799,-0.334381231,3
846,1.563153617,-0.484731149,3
847,1.564794,-0.295848415,3
848,1.570670386,-0.373403222,3
849,1.572737978,-0.162802338,3
850,1.57291122,-0.313947758,3
851,1.574076936,-0.208918246,3
852,1.578933762,-0.365522605,3
853,1.590344858,-0.311258204,3
854,1.597778111,-0.165955573,3
855,1.60575804,-0.430659207,3
856,1.612245145,-0.198134184,3
857,1.622284464,-0.170803905,3
858,1.624375621,-0.312365774,3
859,1.626706834,-0.170625945,3
860,1.631170341,-0.380279488,3
