,0,1,2,cluster
100,7.07,7.32,6.67,1
101,5.92,6.38,5.05,1
102,5.94,4.48,5.57,1
103,5.42,6.74,6.83,1
104,5.9,7.15,6.88,1
105,5.41,5.63,6.51,1
106,6.29,5.22,5.16,1
107,3.94,5.01,6.1,1
108,6.13,6.21,4.35,1
109,6.59,5.35,4.26,1
110,5.77,6.57,5.59,1
111,6.52,7.96,5.53,1
112,6.86,7.91,6.96,1
113,7.4,6.04,6.21,1
114,4.54,5.84,7.19,1
115,5.29,6.72,4.63,1
116,5.54,5.13,5.8,1
117,4.09,6.03,6.02,1
118,5.26,7.47,6.09,1
119,6.4,6.51,7.05,1
120,6.58,6.06,6.72,1
121,8.08,6.84,5.21,1
122,4.92,5.96,6.64,1
123,6.35,4.3,3.89,1
124,7.12,4.61,6.13,1
125,6.42,4.87,6.52,1
126,6.48,7.08,7.41,1
127,5.66,4.37,6.84,1
128,6.44,4.98,6.45,1
129,5.63,7.09,5.73,1
130,5.63,6.61,6.02,1
131,5.99,5.21,4.92,1
132,4.54,7.07,7.19,1
133,6.72,6.2,6.75,1
134,5.76,6.08,5.76,1
135,5.15,4.8,5.08,1
136,6.15,4.6,7.78,1
137,4.91,5.94,5.77,1
138,5.85,5.93,7.08,1
139,5.66,6.83,5.89,1
140,3.43,4.48,6.57,1
141,4.91,7.03,7.96,1
142,6.55,5.21,4.9,1
143,5.0,4.37,5.03,1
144,5.24,6.83,6.04,1
145,4.88,7.61,5.29,1
146,4.96,6.48,7.03,1
147,6.12,5.59,4.65,1
148,6.09,5.97,6.37,1
149,5.16,5.05,6.18,1
150,4.82,6.23,5.31,1
151,7.6,6.97,5.65,1
152,5.94,6.41,7.2,1
153,6.09,6.43,7.21,1
154,4.34,4.92,6.05,1
155,6.38,5.94,5.33,1
156,6.76,6.71,5.9,1
157,4.86,4.93,3.8,1
158,7.08,5.28,4.87,1
159,4.66,5.88,7.36,1
160,5.81,6.22,5.29,1
161,6.71,7.79,6.51,1
162,6.78,5.77,5.07,1
163,5.86,5.09,7.32,1
164,5.03,5.42,5.26,1
165,6.87,4.01,3.56,1
166,7.15,5.62,4.77,1
167,5.88,5.4,6.11,1
168,6.94,6.84,4.97,1
169,6.45,5.43,3.68,1
170,4.38,7.49,5.11,1
171,7.77,5.44,5.51,1
172,4.7,6.46,5.76,1
173,4.28,7.39,5.71,1
174,6.36,5.94,6.43,1
175,6.2,6.91,7.01,1
176,5.4,5.43,6.52,1
177,5.43,6.2,4.85,1
178,7.26,5.5,5.88,1
179,6.74,6.22,6.43,1
180,6.26,6.78,6.26,1
181,6.84,6.49,4.83,1
182,5.57,7.09,7.97,1
183,6.25,5.97,4.41,1
184,6.21,5.86,4.42,1
185,4.26,5.95,6.24,1
186,7.49,4.32,5.79,1
187,5.79,4.6,7.19,1
188,7.1,6.28,5.45,1
189,6.48,6.26,5.86,1
190,6.34,4.88,5.95,1
191,6.57,4.82,5.33,1
192,6.53,6.74,5.75,1
193,5.4,5.21,5.15,1
194,6.63,5.22,6.03,1
195,5.42,7.24,3.8,1
196,5.0,5.12,5.17,1
197,6.5,4.36,7.2,1
198,4.38,5.89,4.55,1
199,6.68,5.9,6.33,1
