,0,1,2,cluster
100,4.78,8.13,6.35,1
101,7.07,6.78,6.95,1
102,7.29,6.86,7.51,1
103,6.11,6.23,7.24,1
104,7.25,6.2,5.73,1
105,6.33,6.66,8.18,1
106,7.82,6.13,6.88,1
107,7.34,6.43,6.56,1
108,6.73,7.86,7.63,1
109,5.64,6.71,7.46,1
110,4.65,6.63,8.46,1
111,6.31,7.69,7.03,1
112,7.41,6.18,7.23,1
113,7.0,4.8,7.8,1
114,7.7,6.44,7.67,1
115,7.04,6.92,7.75,1
116,4.14,6.42,6.74,1
117,5.44,7.06,10.3,1
118,7.18,6.08,7.53,1
119,7.68,5.37,6.31,1
120,7.23,6.9,5.7,1
121,6.45,7.28,7.7,1
122,7.6,9.45,6.04,1
123,7.66,7.58,6.2,1
124,7.6,6.36,7.68,1
125,7.6,5.55,6.58,1
126,6.71,7.75,8.5,1
127,4.88,6.63,7.25,1
128,7.34,7.9,8.12,1
129,5.69,5.46,8.5,1
130,6.58,8.03,7.88,1
131,8.29,5.84,6.44,1
132,6.56,8.47,8.21,1
133,6.85,9.74,6.72,1
134,7.4,8.3,6.16,1
135,5.54,5.91,6.7,1
136,6.13,8.91,8.13,1
137,6.8,6.85,7.45,1
138,8.84,6.79,7.82,1
139,7.34,6.6,5.16,1
140,7.04,7.07,5.93,1
141,7.38,7.22,8.19,1
142,9.87,7.25,6.6,1
143,5.03,7.12,8.74,1
144,6.68,5.94,7.78,1
145,8.17,6.45,5.77,1
146,6.63,6.86,6.95,1
147,7.19,4.77,6.88,1
148,8.19,8.1,6.13,1
149,8.16,6.73,6.22,1
150,8.39,6.55,7.33,1
151,7.08,7.28,6.74,1
152,7.2,6.65,5.13,1
153,8.09,6.95,5.03,1
154,7.48,7.61,9.82,1
155,6.83,5.67,6.83,1
157,7.04,5.69,5.79,1
158,7.46,6.73,6.49,1
159,7.26,8.42,9.38,1
160,5.61,6.19,6.03,1
161,7.17,7.37,8.91,1
162,5.01,8.02,5.57,1
163,7.34,6.2,6.42,1
164,6.69,6.83,4.98,1
165,4.79,7.67,6.88,1
166,7.23,6.0,6.73,1
167,8.15,8.56,5.69,1
168,6.54,6.98,7.37,1
169,8.46,6.38,6.34,1
170,6.26,8.17,7.17,1
171,7.19,7.99,7.0,1
172,6.08,7.17,7.22,1
173,7.13,5.15,9.24,1
174,5.91,5.75,5.59,1
175,7.28,6.84,7.61,1
176,7.63,5.98,5.65,1
177,6.58,6.96,5.75,1
178,7.62,6.23,7.82,1
179,6.61,6.75,6.52,1
180,5.94,6.86,8.36,1
181,7.23,6.63,6.43,1
182,7.43,4.5,6.46,1
183,7.21,7.52,6.96,1
184,5.56,7.17,7.78,1
185,7.79,5.2,7.39,1
186,7.86,5.7,7.06,1
187,6.51,6.95,8.38,1
189,7.54,6.36,7.27,1
190,7.9,7.32,9.13,1
191,7.4,7.34,8.24,1
192,7.93,7.35,7.0,1
193,7.54,8.07,7.68,1
194,7.59,6.73,7.61,1
195,6.53,6.83,6.91,1
196,5.94,9.52,8.12,1
197,7.85,5.63,6.17,1
198,8.6,7.38,6.81,1
199,8.55,8.47,5.33,1
