,0,1,2,cluster
100,4.78,8.13,6.35,0
103,6.11,6.23,7.24,0
105,6.33,6.66,8.18,0
108,6.73,7.86,7.63,0
109,5.64,6.71,7.46,0
110,4.65,6.63,8.46,0
111,6.31,7.69,7.03,0
115,7.04,6.92,7.75,0
116,4.14,6.42,6.74,0
117,5.44,7.06,10.3,0
121,6.45,7.28,7.7,0
126,6.71,7.75,8.5,0
127,4.88,6.63,7.25,0
128,7.34,7.9,8.12,0
129,5.69,5.46,8.5,0
130,6.58,8.03,7.88,0
132,6.56,8.47,8.21,0
133,6.85,9.74,6.72,0
135,5.54,5.91,6.7,0
136,6.13,8.91,8.13,0
137,6.8,6.85,7.45,0
141,7.38,7.22,8.19,0
143,5.03,7.12,8.74,0
144,6.68,5.94,7.78,0
154,7.48,7.61,9.82,0
159,7.26,8.42,9.38,0
161,7.17,7.37,8.91,0
162,5.01,8.02,5.57,0
165,4.79,7.67,6.88,0
168,6.54,6.98,7.37,0
170,6.26,8.17,7.17,0
171,7.19,7.99,7.0,0
172,6.08,7.17,7.22,0
173,7.13,5.15,9.24,0
180,5.94,6.86,8.36,0
184,5.56,7.17,7.78,0
187,6.51,6.95,8.38,0
190,7.9,7.32,9.13,0
191,7.4,7.34,8.24,0
193,7.54,8.07,7.68,0
196,5.94,9.52,8.12,0
